id_bgl,Unnamed: 0,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta,u_sign
600,164,0,2017,-2.8718835326249623,0.0140815284753487,19.5,0.0414225387933013,88.265401137075,-31.49930144352767,-1
604,165,0,2017,-1.2040703025086612,0.255472857396062,29.5,0.173982817952602,178.40292695541052,-9.388885663149136,-1
608,166,0,2017,0.6949875154278798,0.5102244710951848,57.5,0.6341948173294822,42.5731851783041,7.487802323794438,1
612,167,0,2017,,,50.0,1.0,0.0,0.0,-99
616,168,0,2017,2.4437174777827897,0.0393812629411566,78.5,0.0569983064105199,18.9742253821697,28.151506573317832,1
620,169,0,2017,2.7328051374773312,0.0136664983992547,75.5,0.0892445471085907,54.9828299719661,13.13101250568348,1
624,170,0,2017,,,50.0,1.0,0.0,0.0,-99
626,171,0,2017,,,50.0,1.0,0.0,0.0,-99
630,172,0,2017,0.973778512830576,0.3564386712351172,60.5,0.4966573865420429,5.146870198572286,9.063896418828262,1
634,173,0,2017,,,50.0,1.0,0.0,0.0,-99
638,174,0,2017,,,50.0,1.0,0.0,0.0,-99
642,175,0,2017,1.263691926422167,0.2199685744420227,62.5,0.4146659024229229,42.4427815272263,4.727828245862868,1
643,176,0,2017,3.948021251301787,0.0040186602216395,91.5,0.0053196860629577,2259.433670683695,16.906754595364124,1
646,177,0,2017,5.625789120397775,1.0785830159419064e-05,86.5,0.0143998647267011,0.1158576427231879,1219.1120786617803,1
652,178,0,2017,,,50.0,1.0,0.0,0.0,-99
654,179,0,2017,,,50.0,1.0,0.0,0.0,-99
659,180,0,2017,,,50.0,1.0,0.0,0.0,-99
660,181,0,2017,,,50.0,1.0,0.0,0.0,-99
662,182,0,2017,,,50.0,1.0,0.0,0.0,-99
663,183,0,2017,,,50.0,1.0,0.0,0.0,-99
666,184,0,2017,,,50.0,1.0,0.0,0.0,-99
670,185,0,2017,,,50.0,1.0,0.0,0.0,-99
674,186,0,2017,,,50.0,1.0,0.0,0.0,-99
678,187,0,2017,,,50.0,1.0,0.0,0.0,-99
682,188,0,2017,2.873619810458348,0.0207075630154551,81.5,0.0350957974192842,2.487750384344965,127.47287598239758,1
686,189,0,2017,0.1332620739237726,0.8985486940334704,54.5,0.7856962962493347,37.53248884889245,6.089398743529693,1
688,190,0,2017,3.1664614463022804,0.008880642173105,82.5,0.0296130943526454,12.788968118970551,20.25088243888185,1
690,191,0,2017,,,50.0,1.0,0.0,0.0,-99
694,192,0,2017,4.487045172018309,0.0002503395378915,93.5,0.0034671931907658,10.53572910217915,22.13346384270211,1
702,193,0,2017,0.6059160432212041,0.5681621493144324,64.5,0.3412684763150512,0.4127632392602335,4.747684315063946,1
703,194,0,2017,1.98691844334207,0.0688893645662622,69.5,0.1965160943128864,7.220118247202995,12.229016209902248,1
704,195,0,2017,5.319091612954541,3.218669968546602e-05,85.5,0.0173523891907614,551.4926866200719,38.44252898950555,1
705,196,0,2017,0.2974006050605834,0.773991308015939,49.5,1.0,0.4424983673379755,-0.6530906287336368,-1
706,197,0,2017,,,50.0,1.0,0.0,0.0,-99
710,198,0,2017,1.6058933232428951,0.1559396613126944,71.5,0.1534378834105726,361.6273084084385,27.424603260514147,1
716,199,0,2017,3.947644801796177,0.004038928304237,88.5,0.009792195870725,215.8179332492585,50.578080690949,1
724,200,0,2017,4.725878225871359,0.0001766359243589,90.5,0.0065472876128609,321.540221589802,25.50287493925311,1
728,201,0,2017,,,50.0,1.0,0.0,0.0,-99
729,202,0,2017,0.0489455138472649,0.9621881767590644,52.5,0.8918594638362826,1424.00914250454,1.721617303611521,1
732,203,0,2017,,,50.0,1.0,0.0,0.0,-99
740,204,0,2017,2.1404208433041183,0.0779394423696769,78.5,0.0569983064105199,4.142583264638415,35.57822699059572,1
744,205,0,2017,,,50.0,1.0,0.0,0.0,-99
748,206,0,2017,1.1439880975717795,0.2862860498498128,66.5,0.2767657228601765,7.303284840833385,17.027201682195034,1
752,207,0,2017,5.306786646994946,3.7259400812700064e-05,94.5,0.0027812249343891,170.2554562406135,17.499867419465666,1
756,208,0,2017,3.714818926675617,0.0099002870221018,91.5,0.0053196860629577,7.574173835343135,16.89299643307495,1
760,209,0,2017,0.3126988687308343,0.7670189112432778,50.5,1.0,41.7083529254126,0.3979475698768663,1
762,210,0,2017,-3.9601472472117214,0.0027204514046166,16.5,0.0248837232827013,160.8634923110995,-17.80607313783948,-1
764,211,0,2017,-0.0867812308351596,0.9337247270916738,45.5,0.7856962962493347,1277.14268262925,-1.9521825004575064,-1
768,212,0,2017,0.3645516988355244,0.7228685937941685,52.5,0.8918594638362826,93.8372815375368,2.2893094993664267,1
772,213,0,2017,,,50.0,1.0,0.0,0.0,-99
776,214,0,2017,,,50.0,1.0,0.0,0.0,-99
780,215,0,2017,,,50.0,1.0,0.0,0.0,-99
784,216,0,2017,0.0868166969133602,0.9316496619732711,86.5,0.0057254098694467,0.0,113899.951102212,-99
788,217,0,2017,-2.180449682013508,0.0400439809082412,30.5,0.1965160943128864,66.54604680886405,-16.834967010852832,-1
792,218,0,2017,5.153485895417266,5.633614936524782e-05,89.5,0.0080240023321337,377.97952907951,24.71587236035213,1
795,219,0,2017,0.8895536939557097,0.4132099578888258,69.5,0.1965160943128864,117.2364065137845,23.16335106893389,1
796,220,0,2017,,,50.0,1.0,0.0,0.0,-99
798,221,0,2017,,,50.0,1.0,0.0,0.0,-99
800,222,0,2017,3.58218494240163,0.0030513202442551,82.5,0.0296130943526454,32.691014379154296,31.8372502718682,1
804,223,0,2017,4.053413433315828,0.0061337518639085,93.5,0.0034671931907658,203.329144217627,23.57666686284093,1
807,224,0,2017,2.478550859163107,0.0593250719944472,82.5,0.0296130943526454,5.967799171890524,43.712726882979176,1
818,225,0,2017,-1.878010903388856,0.0994252937160187,26.5,0.1179480673610386,839.7519123832585,-21.22429650842747,-1
826,226,0,2017,4.730617374161931,0.0004209663648373,91.5,0.0053196860629577,21.6942738666973,80.58932286103031,1
831,227,0,2017,,,50.0,1.0,0.0,0.0,-99
832,228,0,2017,,,50.0,1.0,0.0,0.0,-99
833,229,0,2017,,,50.0,1.0,0.0,0.0,-99
834,230,0,2017,0.6907429318837155,0.5167446779343452,61.5,0.4546204062737812,132.363231525561,12.3755903403081,1
840,231,0,2017,-1.696367760747304,0.1246911718452805,31.5,0.2211162550702167,5026.505327242585,-2.1534580041805924,-1
850,232,0,2017,,,50.0,1.0,0.0,0.0,-99
854,233,0,2017,2.8878145169321647,0.020125666071531,82.5,0.0296130943526454,305.2259537228175,21.930608408288712,1
858,234,0,2017,0.4056905030444453,0.7019463662414174,57.5,0.6341948173294822,172.024124276849,35.27660408768463,1
860,235,0,2017,0.5748481339951771,0.5882323499814532,57.5,0.6341948173294822,139.8865630539655,1.706763573021729,1
862,236,0,2017,0.9018755393441856,0.3889975578524902,68.5,0.2211162550702167,704.48251777603,13.234362526941895,1
876,237,0,2017,,,50.0,1.0,0.0,0.0,-99
882,238,0,2017,,,50.0,1.0,0.0,0.0,-99
887,239,0,2017,,,50.0,1.0,0.0,0.0,-99
