id_bgl,basin_level,start_year,t_score,u_score,p_t,p_u,sign_diff,delta
117339_834,6,2017,,50.0,,1.0,,0.0
117340_834,6,2017,,50.0,,1.0,,0.0
117341_834,6,2017,,50.0,,1.0,,0.0
117342_834,6,2017,,50.0,,1.0,,0.0
117343_834,6,2017,,50.0,,1.0,,0.0
117344_834,6,2017,,50.0,,1.0,,0.0
117345_834,6,2017,,50.0,,1.0,,0.0
117346_834,6,2017,,50.0,,1.0,,0.0
117347_834,6,2017,2.003129539324475,75.5,0.09002107063039858,0.08924454710859073,1.0,59.64736817940677
117348_404,6,2017,,50.0,,1.0,,0.0
117348_834,6,2017,1.9561482128689536,79.5,0.10171207364687772,0.048689610702269216,1.0,107.16284154078039
117349_834,6,2017,1.894735822088591,78.5,0.10711043892550474,0.05699830641051993,1.0,165.9650568458832
117350_834,6,2017,,50.0,,1.0,,0.0
117360_834,6,2017,,50.0,,1.0,,0.0
117361_834,6,2017,,50.0,,1.0,,0.0
117362_834,6,2017,,50.0,,1.0,,0.0
117363_834,6,2017,,50.0,,1.0,,0.0
117364_834,6,2017,,50.0,,1.0,,0.0
117365_834,6,2017,,50.0,,1.0,,0.0
117366_834,6,2017,,50.0,,1.0,,0.0
117367_834,6,2017,,50.0,,1.0,,0.0
117368_834,6,2017,,50.0,,1.0,,0.0
117369_834,6,2017,,50.0,,1.0,,0.0
117370_834,6,2017,,50.0,,1.0,,0.0
117380_834,6,2017,,50.0,,1.0,,0.0
117390_834,6,2017,,50.0,,1.0,,0.0
117400_834,6,2017,,50.0,,1.0,,0.0
117410_834,6,2017,,50.0,,1.0,,0.0
117420_834,6,2017,,50.0,,1.0,,0.0
117430_834,6,2017,,50.0,,1.0,,0.0
117441_834,6,2017,,50.0,,1.0,,0.0
117442_834,6,2017,,50.0,,1.0,,0.0
117443_834,6,2017,,50.0,,1.0,,0.0
117444_834,6,2017,,50.0,,1.0,,0.0
117445_834,6,2017,,50.0,,1.0,,0.0
117446_834,6,2017,,50.0,,1.0,,0.0
117447_834,6,2017,,50.0,,1.0,,0.0
117448_834,6,2017,,50.0,,1.0,,0.0
117449_834,6,2017,,50.0,,1.0,,0.0
117450_834,6,2017,-0.12782686243672103,47.5,0.9028332932590506,0.8918594638362826,-1.0,-24.400361213631026
117460_834,6,2017,-0.3034068973853165,45.5,0.7722047471057987,0.7856962962493347,-1.0,-2.326855075383941
117470_834,6,2017,0.29693038499192725,56.5,0.7747403931720646,0.6833800574551345,1.0,6.285253226997899
117480_834,6,2017,,50.0,,1.0,,0.0
117490_834,6,2017,,50.0,,1.0,,0.0
117501_834,6,2017,,50.0,,1.0,,0.0
117502_834,6,2017,,50.0,,1.0,,0.0
117503_834,6,2017,,50.0,,1.0,,0.0
117504_834,6,2017,,50.0,,1.0,,0.0
117505_834,6,2017,,50.0,,1.0,,0.0
117506_834,6,2017,,50.0,,1.0,,0.0
