PFAF_ID,id,t_score,u_score,p_t,p_u,p_u_thd_0.01,sign
115607,115607_231,-6.813528561561809,-10.5,6.148454409129594e-07,0.0080240023321337,1.0,-1.0
115717,115717_231,4.693102497738289,95.5,0.0038384141977148,0.0022214145869887,1.0,1.0
115719,115719_231,5.777227028567775,88.5,1.4206418290299346e-05,0.009792195870725,1.0,1.0
115740,115740_231,2.111081267800069,78.5,0.1006701129592058,0.0028770378029029,1.0,1.0
115802,115802_231,8.382672909818607,91.5,2.5945737159219326e-08,0.0053196860629577,1.0,1.0
115803,115803_231,4.497590113396463,92.5,0.0028136959604922,0.0043038765583129,1.0,1.0
115803,115803_232,1.8459798323022272,88.5,0.1227269322201947,0.009792195870725,1.0,1.0
115900,115900_231,1.7055603809891404,91.5,0.1603868231019092,0.0053196860629577,1.0,1.0
116009,116009_834,5.578852706753966,94.5,0.0007778449487858,0.000499123789788,1.0,1.0
117310,117310_404,5.970151064511985,93.5,4.697183302908907e-06,0.0034671931907658,1.0,1.0
117327,117327_404,2.167680421117382,93.5,0.0944209511367524,0.0034671931907658,1.0,1.0
117328,117328_404,3.130979759620721,91.5,0.0243288422275427,0.0053196860629577,1.0,1.0
117329,117329_404,4.015282142954833,94.5,0.0080990473756626,0.0027812249343891,1.0,1.0
117344,117344_834,6.5182493410666895,93.5,3.917049613652837e-06,0.0034671931907658,1.0,1.0
117361,117361_834,3.620713531051069,93.5,0.016211587603133,0.0034671931907658,1.0,1.0
117366,117366_834,2.988230665923248,88.5,0.0286200609856694,0.009792195870725,1.0,1.0
117390,117390_834,4.415738486962716,88.5,0.0011081764213949,0.009792195870725,1.0,1.0
117446,117446_834,3.0348762777066653,88.5,0.029402308295826,0.009792195870725,1.0,1.0
117506,117506_834,6.119878529760603,95.5,0.0002893779970876,0.0022214145869887,1.0,1.0
117507,117507_834,5.043169288911834,94.5,0.0011590326612467,0.0027812249343891,1.0,1.0
117624,117624_508,7.59277125599549,91.5,1.10163536708889e-07,0.0052494768523611,1.0,1.0
117626,117626_508,5.444314688975292,92.5,0.0002733610145234,0.0042223865124581,1.0,1.0
117640,117640_834,-5.705721792356807,-7.5,6.430535902246813e-05,0.0043038765583129,1.0,-1.0
117680,117680_834,8.036832199528055,95.5,1.3464349921021058e-07,0.0022214145869887,1.0,1.0
117708,117708_508,5.036798813257611,94.5,0.00094446522812,0.0027812249343891,1.0,1.0
117918,117918_508,6.793379965315806,95.5,6.700580894312566e-07,0.0022214145869887,1.0,1.0
117970,117970_508,4.906692766458955,91.5,0.0003181819000809,0.0053196860629577,1.0,1.0
117990,117990_508,5.792330711317009,91.5,6.859308906259167e-06,0.0053196860629577,1.0,1.0
121000,121000_508,5.232878485509049,88.5,2.6819564971450813e-05,0.009792195870725,1.0,1.0
122212,122212_508,3.939260380747634,90.5,0.0064211953388496,0.0027541385788002,1.0,1.0
122217,122217_454,-6.27621232432715,-10.5,2.1738824216675786e-06,0.0080240023321337,1.0,-1.0
122282,122282_454,-6.133462766541987,-9.5,5.389518967107592e-06,0.0065472876128609,1.0,-1.0
122282,122282_834,-5.961663080428982,-6.5,3.834756844321113e-05,0.0034671931907658,1.0,-1.0
122289,122289_834,-3.9574758380562174,-10.5,0.0008282870676484,0.007807257724238,1.0,-1.0
122360,122360_894,4.043858656856141,95.5,0.0092065257619366,0.0022214145869887,1.0,1.0
122374,122374_894,5.103688018132736,89.0,6.927361633280302e-05,0.0087253868505059,1.0,1.0
122426,122426_894,2.8137383192602075,95.5,0.042627450952125,0.0022214145869887,1.0,1.0
122428,122428_894,4.795562057191451,89.5,0.0005632412940496,0.0072903580915356,1.0,1.0
122429,122429_894,5.812744042015616,91.5,1.922425625495919e-05,0.0053196860629577,1.0,1.0
122440,122440_894,6.317649032133468,94.5,6.274770925531888e-06,0.0027812249343891,1.0,1.0
122480,122480_894,2.6332650420851214,91.5,0.0528920541571513,0.0053196860629577,1.0,1.0
122491,122491_894,2.903223087009948,93.5,0.0366861123829273,0.0034671931907658,1.0,1.0
122495,122495_894,1.496656711209151,90.5,0.2084731621714217,0.0065472876128609,1.0,1.0
122630,122630_894,4.641575016072926,92.5,0.0003191696893239,0.0043038765583129,1.0,1.0
122640,122640_894,5.155596729451162,94.5,0.0006630515709435,0.0027812249343891,1.0,1.0
122650,122650_894,6.02644951015082,91.5,1.09360204112046e-05,0.0053196860629577,1.0,1.0
122670,122670_894,5.543175260332108,90.5,3.9958315182271645e-05,0.0065472876128609,1.0,1.0
