id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta
1155_404,4,2010,,,50.0,1.0,0.0,0.0
1155_404,4,2015,,,50.0,1.0,0.0,0.0
1155_404,4,2017,,,50.0,1.0,0.0,0.0
1155_728,4,2000,,,50.0,1.0,0.0,0.0
1155_728,4,2005,,,50.0,1.0,0.0,0.0
1155_728,4,2010,,,50.0,1.0,0.0,0.0
1155_728,4,2015,,,50.0,1.0,0.0,0.0
1155_728,4,2017,,,50.0,1.0,0.0,0.0
1155_800,4,2000,,,50.0,1.0,0.0,0.0
1155_800,4,2005,,,50.0,1.0,0.0,0.0
1155_800,4,2010,,,50.0,1.0,0.0,0.0
1155_800,4,2015,,,50.0,1.0,0.0,0.0
1155_800,4,2017,,,50.0,1.0,0.0,0.0
1156_231,4,2000,,,50.0,1.0,0.0,0.0
1156_231,4,2005,,,50.0,1.0,0.0,0.0
1156_231,4,2010,,,50.0,1.0,0.0,0.0
1156_231,4,2015,,,50.0,1.0,0.0,0.0
1156_231,4,2017,,,50.0,1.0,0.0,0.0
1156_404,4,2000,,,50.0,1.0,0.0,0.0
1156_404,4,2005,,,50.0,1.0,0.0,0.0
1156_404,4,2010,,,50.0,1.0,0.0,0.0
1156_404,4,2015,,,50.0,1.0,0.0,0.0
1156_404,4,2017,,,50.0,1.0,0.0,0.0
1157_231,4,2000,-2.3715432826591676,0.028257848035823024,36.5,0.37668189633071936,183.2365076096405,-0.6726271784231204
1157_231,4,2005,-1.0516919452581635,0.31247280828310076,35.5,0.3410824971479892,183.2365076096405,-0.8849971619926721
1157_231,4,2010,2.131005906755627,0.04500437727792431,70.5,0.17381701252848136,183.2365076096405,19.50244555277466
1157_231,4,2015,0.3586912461154478,0.7356620403453084,57.5,0.6340642040377586,183.2365076096405,29.992552443438854
1157_231,4,2017,4.446008250608249,0.0038412753174088365,95.5,0.0022214145869887034,183.2365076096405,42.294723782202055
1157_262,4,2000,,,50.0,1.0,0.0,0.0
1157_262,4,2005,,,50.0,1.0,0.0,0.0
1157_262,4,2010,,,50.0,1.0,0.0,0.0
1157_262,4,2015,,,50.0,1.0,0.0,0.0
1157_262,4,2017,,,50.0,1.0,0.0,0.0
1157_706,4,2000,,,50.0,1.0,0.0,0.0
1157_706,4,2005,,,50.0,1.0,0.0,0.0
1157_706,4,2010,,,50.0,1.0,0.0,0.0
1157_706,4,2015,,,50.0,1.0,0.0,0.0
1157_706,4,2017,,,50.0,1.0,0.0,0.0
1158_231,4,2000,,,50.0,1.0,0.0,0.0
1158_231,4,2005,,,50.0,1.0,0.0,0.0
1158_231,4,2010,,,50.0,1.0,0.0,0.0
1158_231,4,2015,,,50.0,1.0,0.0,0.0
1158_231,4,2017,,,50.0,1.0,0.0,0.0
1158_232,4,2000,,,50.0,1.0,0.0,0.0
1158_232,4,2005,,,50.0,1.0,0.0,0.0
1158_232,4,2010,,,50.0,1.0,0.0,0.0
1158_232,4,2015,,,50.0,1.0,0.0,0.0
1158_232,4,2017,,,50.0,1.0,0.0,0.0
1159_231,4,2000,,,50.0,1.0,0.0,0.0
1159_231,4,2005,,,50.0,1.0,0.0,0.0
1159_231,4,2010,,,50.0,1.0,0.0,0.0
1159_231,4,2015,,,50.0,1.0,0.0,0.0
1159_231,4,2017,,,50.0,1.0,0.0,0.0
1159_262,4,2000,,,50.0,1.0,0.0,0.0
1159_262,4,2005,,,50.0,1.0,0.0,0.0
1159_262,4,2010,,,50.0,1.0,0.0,0.0
1159_262,4,2015,,,50.0,1.0,0.0,0.0
1159_262,4,2017,,,50.0,1.0,0.0,0.0
1160_834,4,2000,,,50.0,1.0,0.0,0.0
1160_834,4,2005,,,50.0,1.0,0.0,0.0
1160_834,4,2010,,,50.0,1.0,0.0,0.0
1160_834,4,2015,,,50.0,1.0,0.0,0.0
1160_834,4,2017,,,50.0,1.0,0.0,0.0
1160_894,4,2000,,,50.0,1.0,0.0,0.0
1160_894,4,2005,,,50.0,1.0,0.0,0.0
1160_894,4,2010,,,50.0,1.0,0.0,0.0
1160_894,4,2015,,,50.0,1.0,0.0,0.0
1160_894,4,2017,,,50.0,1.0,0.0,0.0
1170_454,4,2000,,,50.0,1.0,0.0,0.0
1170_454,4,2005,,,50.0,1.0,0.0,0.0
