id_bgl,basin_level,start_year,t_score,p_t,u_score,p_u,baseline_median,delta
7826_124,4,2010,2.936831154733861,0.007446815166304905,77.5,0.0663495105323919,144.6433292848535,4.399028140956912
7826_124,4,2015,-0.9517017530303136,0.3634691523662119,30.5,0.19634372137988876,144.6433292848535,-5.212532786496605
7826_124,4,2017,0.7097946177177316,0.49168862347311426,52.5,0.8918594638362826,144.6433292848535,2.3387240700593583
7826_840,4,2000,0.5079022484670378,0.6343682865879542,50.5,1.0,132.6534643556185,-0.4929905497931727
7826_840,4,2005,-1.00807616018667,0.3317561942375842,41.5,0.5864302419067187,132.6534643556185,-0.09881466068283225
7826_840,4,2010,-0.5728598089261203,0.5859674983581087,40.5,0.5405256097346169,132.6534643556185,-1.1424487669299366
7826_840,4,2015,0.5858145972881729,0.5684979736551095,67.5,0.24766697136682303,132.6534643556185,1.4596441623509584
7826_840,4,2017,1.1537681971595577,0.2704715990178487,73.5,0.11794806736103866,132.6534643556185,2.097058040412107
7827_840,4,2000,-0.1751894593086915,0.8624663385761565,60.5,0.4964915434248136,9.712325676088335,0.17434287223836897
7827_840,4,2005,-1.3643214781628727,0.19398917726030343,32.5,0.24766697136682303,9.712325676088335,-2.707585462861058
7827_840,4,2010,-0.4580189324427505,0.6596832419269384,42.5,0.6340642040377586,9.712325676088335,-1.294753806003258
7827_840,4,2015,0.806718096652462,0.4588760626528182,64.5,0.3410824971479892,9.712325676088335,0.21180300239817001
7827_840,4,2017,1.6604307663078792,0.16386466371916916,85.5,0.017352389190761427,9.712325676088335,1.8848694917212134
7828_840,4,2000,,,50.0,1.0,0.0,0.0
7828_840,4,2005,,,50.0,1.0,0.0,0.0
7828_840,4,2010,,,50.0,1.0,0.0,0.0
7828_840,4,2015,,,50.0,1.0,0.0,0.0
7828_840,4,2017,,,50.0,1.0,0.0,0.0
7829_840,4,2000,2.604653931036433,0.02994057745726912,82.5,0.029550379410739677,229.85400607054402,12.432986866739906
7829_840,4,2005,0.11406952700378949,0.9133729975868736,46.5,0.8383487162012156,229.85400607054402,-1.0298343537093235
7829_840,4,2010,-1.529092247407096,0.15096864477924196,37.5,0.41448613410576296,229.85400607054402,-2.8245079080760904
7829_840,4,2015,-1.7421056316285444,0.10904804180897963,33.5,0.2765806978220734,229.85400607054402,-1.8176768997574362
7829_840,4,2017,-0.2201755444085954,0.8350457779714452,32.5,0.24784912392821346,229.85400607054402,-6.294140769556922
7830_124,4,2000,,,50.0,1.0,0.0,0.0
7830_124,4,2005,,,50.0,1.0,0.0,0.0
7830_124,4,2010,,,50.0,1.0,0.0,0.0
7830_124,4,2015,,,50.0,1.0,0.0,0.0
7830_124,4,2017,,,50.0,1.0,0.0,0.0
7831_124,4,2000,0.3175261285022341,0.7547407932963416,56.5,0.6761650108949357,0.376831008881495,0.0
7831_124,4,2005,1.24316466396301,0.22891028225402946,70.5,0.16005734623194479,0.376831008881495,0.0
7831_124,4,2010,1.1723889540816692,0.2554549395040954,50.5,1.0,0.376831008881495,0.0
7831_124,4,2015,-0.6952226670914526,0.520965243763621,22.5,0.06337402939972912,0.376831008881495,-0.4305064654192629
7831_124,4,2017,-0.6726026750599993,0.5340230531971786,47.5,0.8906603479582313,0.376831008881495,-0.1168531216687369
7831_840,4,2000,-0.06019141960365762,0.95348187132691,51.5,0.9457840102873425,17.0797771101237,1.171044851256635
