adm0_code,adm0_name,SDG_region,delta_2000_2004,delta_2005_2009,delta_2010_2014,delta_2015_2019,delta_2017_2021,count_basins_plus_2000_2004,count_basins_negative_2000_2004,count_basins_plus_2005_2009,count_basins_negative_2005_2009,count_basins_plus_2010_2014,count_basins_negative_2010_2014,count_basins_plus_2015_2019,count_basins_negative_2015_2019,count_basins_plus_2017_2021,count_basins_negative_2017_2021,total_basins
831,Guernsey,Northern America (M49) and Europe (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
832,Jersey,Northern America (M49) and Europe (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
833,Isle of Man,Northern America (M49) and Europe (M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
834,United Republic of Tanzania,Sub-Saharan Africa (M49),-20.72061283144958,-30.68179295339607,10.554922116788786,22.50013723771547,12.3755903403081,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,142.0
840,United States of America,Northern America (M49) and Europe (M49),2.0154633573163574,3.997880580438887,-2.254029079502531,-2.1534580041805924,-2.1534580041805924,11.0,3.0,1.0,0.0,0.0,0.0,14.0,29.0,39.0,27.0,1261.0
850,United States Virgin Islands,Latin America and the Caribbean (MDG=M49),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
854,Burkina Faso,Sub-Saharan Africa (M49),-3.516264856528704,2.0084501656030755,-1.3142470954310377,25.42081253442238,21.930608408288712,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,2.0,67.0
858,Uruguay,Latin America and the Caribbean (MDG=M49),-5.990676688371458,32.68851250770267,-9.610181617735854,-44.02436111876615,35.27660408768463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
860,Uzbekistan,Central Asia (M49) and Southern Asia (MDG=M49),-8.042200219752669,-1.4430338578805262,1.8345160318685432,3.03125642584702,1.706763573021729,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,86.0
862,Venezuela,Latin America and the Caribbean (MDG=M49),-13.171968177060926,-1.847730807182974,-2.775549835294196,13.234362526941895,13.234362526941895,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,1.0,138.0
