id,t_score,u_score,p_t,p_u,p_u_thd_0.01
415_1044,-0.9145291883606758,,0.36992745094477586,0.3833285226481784,0.0
415_392,3.0245378262726326,-79.5,0.006032198827061789,0.048689610702269216,0.0
421_643,-0.6259224321462743,-43.5,0.5375283462727585,0.6833800574551345,0.0
422_156,-2.494782871922564,20.5,0.020225435864678638,0.048689610702269216,0.0
422_408,-0.6440549395518779,43.5,0.5259110735527075,0.6833800574551345,0.0
422_496,1.9292540801617373,-80.5,0.06612719946854514,0.04142253879330133,0.0
422_643,0.02289763923705544,-53.5,0.9819294211987393,0.838410115171209,0.0
423_156,-2.858049052322481,13.5,0.008896212485871618,0.014399864726701132,0.0
423_408,-0.5362255516219248,43.5,0.5969512858168609,0.6833800574551345,0.0
423_643,-1.0170179575643075,32.5,0.3197244912042878,0.24784912392821346,0.0
424_156,-0.3327141394776196,38.5,0.7423636561596232,0.4546204062737812,0.0
424_408,-0.8856312583253612,38.5,0.3849822724432471,0.4546204062737812,0.0
424_410,-1.746366798897688,20.5,0.09409158722562996,0.048689610702269216,0.0
431_156,-1.8989065735776758,14.5,0.0701922966371112,0.017352389190761427,0.0
432_156,-3.0772620433469116,7.5,0.005326713024643644,0.004303876558312955,1.0
433_156,-0.22273243733411677,-52.5,0.825709894189234,0.8918594638362826,0.0
434_156,-3.6763617019516808,9.5,0.0012520067614969939,0.006547287612860911,1.0
435_156,-2.2021730197620273,18.5,0.03794790551513488,0.035095797419284286,0.0
436_156,-0.15261652933063305,171.0,0.8793404274011027,0.4893606149393206,0.0
436_344,1.7675124714132284,-79.5,0.09040915405755504,0.048689610702269216,0.0
436_418,,,,1.0,0.0
436_446,1.3268408579735786,-71.5,0.19758457850622513,0.1534378834105726,0.0
436_704,-0.5020334355212879,34.5,0.6204163702016081,0.307900293130149,0.0
437_156,1.4410994668037425,-75.5,0.16303345790670673,0.08924454710859073,0.0
438_156,,,,1.0,0.0
439_1042,-1.7065131886469083,18.5,0.10138089298605038,0.01980072446462983,0.0
